Estrategia,Método,Dimensiones,Top-1 Accuracy,Top-3 Accuracy,Top-5 Accuracy,MRR,Varianza Explicada
Estrategia: Añadir Dimensiones Nuevas,Gaussiano Muy Agresivo (100d),484,0.4270833333333333,0.5729166666666666,0.5729166666666666,0.5346441884985936,0.8062780774237903
Estrategia: Añadir Dimensiones Nuevas,Mixto Agresivo (150d),534,0.4270833333333333,0.5729166666666666,0.5729166666666666,0.5341054819565976,0.7361762677314405
Estrategia: Añadir Dimensiones Nuevas,Gaussiano Extremo (200d),584,0.4270833333333333,0.5520833333333334,0.5520833333333334,0.5304142938954047,0.7271572349772851
Estrategia: Añadir Dimensiones Nuevas,Baseline (384d),384,0.4166666666666667,0.5729166666666666,0.5729166666666666,0.528929581468197,1.0
Estrategia 2: Augmentación Semántica,Baseline (Original),384,0.4167,0.5729,0.625,0.5289,N/A
Estrategia: Añadir Dimensiones Nuevas,Uniforme Muy Agresivo (100d),484,0.4166666666666667,0.5625,0.5625,0.5282558050131705,0.7997001270928104
Estrategia: Añadir Dimensiones Nuevas,Uniforme Ultra Agresivo (150d),534,0.4166666666666667,0.5520833333333334,0.5520833333333334,0.5273477287144693,0.7344432558873353
Estrategia: Añadir Dimensiones Nuevas,Uniforme Extremo (200d),584,0.40625,0.5833333333333334,0.5833333333333334,0.5253417866180666,0.6863656202578486
Estrategia: Añadir Dimensiones Nuevas,Gaussiano Ultra Agresivo (150d),534,0.40625,0.5520833333333334,0.5520833333333334,0.5232117647669244,0.7536136666876331
Estrategia: Añadir Dimensiones Nuevas,Mixto Ultra Agresivo (200d),584,0.40625,0.5416666666666666,0.5416666666666666,0.5220924028999329,0.6938564588967048
Estrategia 2: Augmentación Semántica,Augmentación Semántica,384,0.4167,0.4896,0.5417,0.4886,N/A
Estrategia: Añadir Dimensiones Nuevas,Ultra: Semántico Controlado (300d),684,0.12499999999999994,0.21874999999999994,0.21874999999999994,0.24625802633630905,14.770974943392565
Estrategia: Añadir Dimensiones Nuevas,Extreme: Adaptativo Extremo (900d),1284,0.09375,0.15625,0.15625,0.20045655091062026,0.94699436908485
Estrategia: Añadir Dimensiones Nuevas,Ultra: Progresivo Inteligente (400d),784,0.0729166666666666,0.20833333333333331,0.20833333333333331,0.1984428086651636,147.51475777534475
Estrategia: Añadir Dimensiones Nuevas,Extreme: Extremo Uniforme Ultra Masivo (1000d),1384,0.0729166666666666,0.16666666666666663,0.16666666666666663,0.19796027793735255,0.9428258995233104
Estrategia: Añadir Dimensiones Nuevas,Ultra: Balance Semántico (600d),984,0.06249999999999995,0.17708333333333331,0.17708333333333331,0.1925092811754248,389.6682494928458
Estrategia: Añadir Dimensiones Nuevas,Extreme: Extremo Uniforme Masivo (500d),884,0.07291666666666666,0.16666666666666663,0.16666666666666663,0.19095788311996542,0.9045194793163776
Estrategia: Añadir Dimensiones Nuevas,Extreme: Basado en Clusters (600d),984,0.06249999999999995,0.14583333333333331,0.14583333333333331,0.1849273379131767,0.92116597885364
Estrategia: Añadir Dimensiones Nuevas,Extreme: Extremo Gaussiano Ultra Masivo (1000d),1384,0.06249999999999995,0.1458333333333333,0.1458333333333333,0.17039296451211536,0.937405261425446
Estrategia: Añadir Dimensiones Nuevas,Ultra: Híbrido Ultra-Controlado (900d),1284,0.04166666666666665,0.14583333333333331,0.14583333333333331,0.16451001982178365,-110223.46342527893
Estrategia: Añadir Dimensiones Nuevas,Ultra: Específico por Documento (500d),884,0.03124999999999995,0.15624999999999994,0.15624999999999994,0.16441648945526272,790.7663484961578
Estrategia: Añadir Dimensiones Nuevas,Extreme: Extremo Gaussiano Masivo (500d),884,0.0625,0.09374999999999994,0.09374999999999994,0.16291608481856365,0.9273262688612964
Estrategia: Añadir Dimensiones Nuevas,Extreme: Secuencial Extremo (800d),1184,0.04166666666666665,0.1145833333333333,0.1145833333333333,0.15557326987190107,0.9291198609996982
Estrategia: Añadir Dimensiones Nuevas,Ultra: Máxima Discriminación Semántica (1000d),1384,0.04166666666666665,0.10416666666666664,0.10416666666666664,0.15414945385694515,21673.93673833094
Estrategia: Añadir Dimensiones Nuevas,Ultra: Secuencial Inteligente (800d),1184,0.0416666666666666,0.12499999999999994,0.12499999999999994,0.14955352294392074,1017.8479583006914
Estrategia: Añadir Dimensiones Nuevas,Extreme: Híbrido Extremo Complejo (750d),1134,0.0520833333333333,0.1041666666666666,0.1041666666666666,0.1489078729445661,0.9122225693089172
Estrategia: Añadir Dimensiones Nuevas,Ultra: Adaptativo por Clusters (700d),1084,0.0208333333333333,0.09374999999999994,0.09374999999999994,0.13367875780484936,-33656.31146670099
