ID_Experimento,Tipo_Ruido,Escala_Ruido,Descripcion,Dimensiones_Adicionales,Total_Dimensiones,Ratio_Expansion,Media_Original,DesvEst_Original,Media_Adicional,DesvEst_Adicional,Ratio_Media,Ratio_DesvEst,Ratio_Varianza,Ruido_Controlado
1,gaussian,0.05,Gaussiano Conservador,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.047590094981321926,0.03561822143269531,14.062383793797062,0.6995116256753204,0.4893165206368929,True
2,gaussian,0.1,Gaussiano Moderado,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.023671454392552912,0.035046224358691314,6.99467140706673,0.6882780888218835,0.4737267335373083,True
3,gaussian,0.15,Gaussiano Agresivo,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.017064075057905505,0.03529481076003056,5.042258744064426,0.6931601146706524,0.4804709506404415,True
4,gaussian,0.2,Gaussiano Muy Agresivo,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.012146037838745037,0.03495297734461245,3.5890293080829165,0.6864467966409719,0.4712092105718496,True
5,uniform,0.05,Uniforme Conservador,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.08109987397287424,0.03595585151436048,23.964178972173425,0.706142393799124,0.49863708662007544,True
6,uniform,0.1,Uniforme Moderado,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.03964556283329082,0.03498618704174598,11.714856221691571,0.687099006894478,0.4721050512398936,True
7,uniform,0.15,Uniforme Agresivo,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.026509308368334157,0.03497382722606019,7.833228080968125,0.68685627060907,0.4717715424353022,True
8,uniform,0.2,Uniforme Muy Agresivo,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.02128000718275465,0.03481198315317548,6.288023343010814,0.6836777904386485,0.467415327044339,True
9,exponential,0.05,Exponencial Conservador,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.04973607016410128,0.039562428720661603,14.696497397563794,0.7769725078032849,0.6036862855090221,True
10,exponential,0.1,Exponencial Moderado,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.026346603424010795,0.03643075620388568,7.785150442688111,0.7154691186620804,0.5118960662263246,True
11,exponential,0.15,Exponencial Agresivo,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.019198330416858866,0.03628667669834598,5.672909260381942,0.7126395195105053,0.507855091184341,True
12,exponential,0.2,Exponencial Muy Agresivo,50,434,1.1302083333333333,-0.0033842125,0.0509187,-0.012797368706778375,0.03526962039037117,3.781490883262092,0.6926653971995652,0.47978535853917936,True
